City1,City2,Distance
"Atlanta, GA","Fort Lauderdale, FL",581.0
"Fort Lauderdale, FL","Raleigh/Durham, NC",680.0
"Atlanta, GA","Jackson/Vicksburg, MS",341.0
"Atlanta, GA","Richmond, VA",481.0
"Fort Myers, FL","Minneapolis, MN",1416.0
"Atlanta, GA","Raleigh/Durham, NC",356.0
"Atlanta, GA","Nashville, TN",214.0
"Atlanta, GA","Indianapolis, IN",432.0
"Denver, CO","New York, NY",1620.0
"Atlanta, GA","Savannah, GA",214.0
"Atlanta, GA","Fayetteville, AR",589.0
"Atlanta, GA","San Antonio, TX",874.0
"Detroit, MI","Tampa, FL",983.0
"Denver, CO","Salt Lake City, UT",391.0
"Fort Lauderdale, FL","New York, NY",1076.0
"Atlanta, GA","Hartford, CT",859.0
"Atlanta, GA","Jacksonville, FL",270.0
"Boston, MA","Fort Myers, FL",1249.0
"Detroit, MI","Seattle, WA",1927.0
"Atlanta, GA","Harrisburg, PA",620.0
"Boston, MA","Miami, FL",1258.0
"Atlanta, GA","Pittsburgh, PA",526.0
"Atlanta, GA","Orlando, FL",404.0
"Long Beach, CA","Salt Lake City, UT",588.0
"Las Vegas, NV","Salt Lake City, UT",368.0
"Atlanta, GA","Charlotte, NC",226.0
"Atlanta, GA","Columbia, SC",192.0
"Atlanta, GA","Newark, NJ",746.0
"Minneapolis, MN","Newark, NJ",1008.0
"Atlanta, GA","Buffalo, NY",712.0
"Atlanta, GA","Cincinnati, OH",373.0
"Atlanta, GA","Syracuse, NY",794.0
"Minneapolis, MN","Washington, DC",908.0
"Atlanta, GA","Philadelphia, PA",666.0
"Hartford, CT","Minneapolis, MN",1050.0
"Atlanta, GA","Norfolk, VA",516.0
"New York, NY","Raleigh/Durham, NC",427.0
"Detroit, MI","Orlando, FL",957.0
"Los Angeles, CA","Portland, OR",834.0
"Detroit, MI","Washington, DC",383.0
"Boston, MA","Orlando, FL",1121.0
"Atlanta, GA","Memphis, TN",332.0
"Detroit, MI","Fort Lauderdale, FL",1127.0
"Minneapolis, MN","Sioux Falls, SD",196.0
"Atlanta, GA","Seattle, WA",2182.0
"Atlanta, GA","Dallas/Fort Worth, TX",731.0
"New York, NY","Orlando, FL",944.0
"Baltimore, MD","Detroit, MI",409.0
"Miami, FL","New York, NY",1089.0
"Indianapolis, IN","Salt Lake City, UT",1355.0
"Chicago, IL","Minneapolis, MN",349.0
"Minneapolis, MN","San Juan, PR",2404.0
"Atlanta, GA","Rochester, NY",749.0
"Fort Myers, FL","New York, NY",1074.0
"Dallas/Fort Worth, TX","Minneapolis, MN",852.0
"Atlanta, GA","Louisville, KY",321.0
"Dallas/Fort Worth, TX","Salt Lake City, UT",989.0
"Atlanta, GA","Huntsville, AL",151.0
"Atlanta, GA","Columbus, OH",447.0
"Atlanta, GA","Pensacola, FL",271.0
"Phoenix, AZ","Seattle, WA",1107.0
"Seattle, WA","Washington, DC",2329.0
"Atlanta, GA","Wichita, KS",782.0
"Atlanta, GA","Houston, TX",689.0
"Atlanta, GA","Charleston, SC",259.0
"Atlanta, GA","Dayton, OH",432.0
"Atlanta, GA","Portland, ME",1027.0
"Austin, TX","Salt Lake City, UT",1086.0
"Boston, MA","Tampa, FL",1185.0
"Portland, OR","Salt Lake City, UT",630.0
"Jackson, WY","Salt Lake City, UT",205.0
"Salt Lake City, UT","Santa Ana, CA",588.0
"Atlanta, GA","Kansas City, MO",692.0
"Boise, ID","Salt Lake City, UT",290.0
"Detroit, MI","Fort Myers, FL",1084.0
"Minneapolis, MN","Orlando, FL",1310.0
"Minneapolis, MN","New Orleans, LA",1039.0
"Atlanta, GA","Tulsa, OK",674.0
"Atlanta, GA","Chicago, IL",591.0
"Atlanta, GA","Providence, RI",903.0
"Boston, MA","Charlotte Amalie, VI",1693.0
"Fargo, ND","Minneapolis, MN",223.0
"Las Vegas, NV","Los Angeles, CA",236.0
"Detroit, MI","Los Angeles, CA",1979.0
"Atlanta, GA","New Orleans, LA",425.0
"Atlanta, GA","Grand Rapids, MI",640.0
"Chicago, IL","Detroit, MI",228.0
"Atlanta, GA","San Jose, CA",2116.0
"Atlanta, GA","Madison, WI",707.0
"Austin, TX","Detroit, MI",1149.0
"New York, NY","Tampa, FL",1005.0
"Atlanta, GA","San Juan, PR",1547.0
"Atlanta, GA","Christiansted, VI",1638.0
"Atlanta, GA","Charlotte Amalie, VI",1599.0
"New York, NY","San Juan, PR",1608.0
"Oakland, CA","Salt Lake City, UT",588.0
"Atlanta, GA","Las Vegas, NV",1747.0
"Minneapolis, MN","Raleigh/Durham, NC",980.0
"Orlando, FL","Raleigh/Durham, NC",534.0
"Denver, CO","Seattle, WA",1024.0
"Baltimore, MD","Minneapolis, MN",936.0
"Dallas/Fort Worth, TX","Detroit, MI",986.0
"Atlanta, GA","Little Rock, AR",453.0
"Atlanta, GA","Oklahoma City, OK",761.0
"Atlanta, GA","Austin, TX",813.0
"Detroit, MI","New Orleans, LA",926.0
"Atlanta, GA","Fort Myers, FL",515.0
"Minneapolis, MN","Phoenix, AZ",1267.0
"Atlanta, GA","Tampa, FL",406.0
"Atlanta, GA","Greensboro/High Point, NC",306.0
"Atlanta, GA","Melbourne, FL",442.0
"Minneapolis, MN","Philadelphia, PA",980.0
"Atlanta, GA","Panama City, FL",240.0
"Detroit, MI","Newark, NJ",488.0
"Boise, ID","Minneapolis, MN",1142.0
"Atlanta, GA","Daytona Beach, FL",366.0
"Atlanta, GA","Sarasota/Bradenton, FL",444.0
"Atlanta, GA","Washington, DC",547.0
"Atlanta, GA","Birmingham, AL",134.0
"Detroit, MI","Salt Lake City, UT",1481.0
"Salt Lake City, UT","San Diego, CA",626.0
"Boston, MA","Cincinnati, OH",752.0
"Atlanta, GA","West Palm Beach/Palm Beach, FL",545.0
"Fort Lauderdale, FL","Minneapolis, MN",1487.0
"Denver, CO","Minneapolis, MN",680.0
"Las Vegas, NV","Seattle, WA",867.0
"Atlanta, GA","Valparaiso, FL",250.0
"Salt Lake City, UT","San Antonio, TX",1087.0
"Atlanta, GA","St. Louis, MO",484.0
"New York, NY","West Palm Beach/Palm Beach, FL",1028.0
"Detroit, MI","Houston, TX",1092.0
"Santa Ana, CA","Seattle, WA",978.0
"Detroit, MI","Minneapolis, MN",528.0
"Minneapolis, MN","Tampa, FL",1306.0
"Atlanta, GA","Cleveland, OH",554.0
"Atlanta, GA","Key West, FL",646.0
"Kansas City, MO","Seattle, WA",1489.0
"Houston, TX","New York, NY",1417.0
"Atlanta, GA","Gulfport/Biloxi, MS",352.0
"Atlanta, GA","Myrtle Beach, SC",317.0
"Minneapolis, MN","San Antonio, TX",1097.0
"Salt Lake City, UT","San Jose, CA",584.0
"Anchorage, AK","Minneapolis, MN",2519.0
"Milwaukee, WI","Salt Lake City, UT",1247.0
"Atlanta, GA","Minneapolis, MN",907.0
"Raleigh/Durham, NC","Tampa, FL",587.0
"Detroit, MI","Raleigh/Durham, NC",501.0
"Atlanta, GA","Miami, FL",594.0
"Ontario, CA","Salt Lake City, UT",558.0
"Kansas City, MO","Minneapolis, MN",393.0
"Atlanta, GA","Tallahassee, FL",223.0
"Miami, FL","Raleigh/Durham, NC",700.0
"Atlanta, GA","Omaha, NE",821.0
"Detroit, MI","San Francisco, CA",2079.0
"Cincinnati, OH","Fort Lauderdale, FL",932.0
"Detroit, MI","Milwaukee, WI",237.0
"Charlotte, NC","Minneapolis, MN",930.0
"Anchorage, AK","Salt Lake City, UT",2125.0
"Fairbanks, AK","Seattle, WA",1533.0
"Detroit, MI","Las Vegas, NV",1749.0
"Appleton, WI","Atlanta, GA",765.0
"Sacramento, CA","Salt Lake City, UT",532.0
"Atlanta, GA","Chattanooga, TN",106.0
"Atlanta, GA","White Plains, NY",780.0
"Detroit, MI","Hartford, CT",549.0
"Atlanta, GA","Knoxville, TN",152.0
"Atlanta, GA","Gainesville, FL",300.0
"Atlanta, GA","Salt Lake City, UT",1590.0
"Denver, CO","Detroit, MI",1123.0
"San Francisco, CA","Seattle, WA",679.0
"Atlanta, GA","Hayden, CO",1340.0
"Indianapolis, IN","Minneapolis, MN",503.0
"Atlanta, GA","San Diego, CA",1892.0
"Charlotte, NC","Detroit, MI",500.0
"Atlanta, GA","Baltimore, MD",577.0
"Boston, MA","West Palm Beach/Palm Beach, FL",1197.0
"Cincinnati, OH","Orlando, FL",757.0
"Boston, MA","Chicago, IL",861.0
"Bozeman, MT","Salt Lake City, UT",347.0
"Boston, MA","New York, NY",187.0
"Chicago, IL","Salt Lake City, UT",1259.0
"Detroit, MI","Philadelphia, PA",453.0
"Bozeman, MT","Minneapolis, MN",874.0
"Kansas City, MO","Salt Lake City, UT",920.0
"Atlanta, GA","Milwaukee, WI",669.0
"Detroit, MI","San Antonio, TX",1214.0
"Atlanta, GA","Sioux Falls, SD",954.0
"Anchorage, AK","Seattle, WA",1448.0
"Atlanta, GA","Des Moines, IA",743.0
"Detroit, MI","Kansas City, MO",629.0
"Detroit, MI","Jacksonville, FL",813.0
"Salt Lake City, UT","San Francisco, CA",599.0
"Los Angeles, CA","Seattle, WA",954.0
"Atlanta, GA","Roanoke, VA",357.0
"Atlanta, GA","Palm Springs, CA",1840.0
"Atlanta, GA","Denver, CO",1199.0
"Salt Lake City, UT","Spokane, WA",546.0
"Miami, FL","Minneapolis, MN",1501.0
"Phoenix, AZ","Salt Lake City, UT",507.0
"Austin, TX","Minneapolis, MN",1042.0
"Minneapolis, MN","St. Louis, MO",448.0
"Kalispell, MT","Salt Lake City, UT",531.0
"Detroit, MI","Nashville, TN",456.0
"Atlanta, GA","Greer, SC",153.0
